Time,Media,Media,Media,MMC0,MMC0,MMC0,MMCX1,MMCX1,MMCX1,MMCX2,MMCX2
00:00:00,0.124,0.118,0.122,0.123,0.12,0.123,0.123,0.121,0.124,0.11,0.119
00:30:00,0.146,0.147,0.147,0.151,0.148,0.153,0.151,0.148,0.15,0.135,0.151
01:00:00,0.209,0.197,0.203,0.204,0.207,0.211,0.207,0.199,0.205,0.172,0.192
01:30:00,0.293,0.281,0.291,0.289,0.288,0.29,0.277,0.266,0.274,0.186,0.242
02:00:00,0.39,0.367,0.392,0.374,0.372,0.38,0.354,0.327,0.344,0.165,0.262
02:30:00,0.442,0.434,0.457,0.438,0.43,0.431,0.407,0.372,0.399,0.141,0.266
03:00:00,0.448,0.446,0.47,0.443,0.434,0.447,0.411,0.383,0.396,0.123,0.268
03:30:00,0.448,0.443,0.477,0.454,0.446,0.456,0.411,0.383,0.398,0.117,0.253
04:00:00,0.447,0.453,0.493,0.458,0.453,0.461,0.414,0.382,0.398,0.114,0.239
04:30:00,0.451,0.47,0.492,0.46,0.456,0.461,0.41,0.377,0.392,0.112,0.23
05:00:00,0.454,0.501,0.496,0.461,0.455,0.464,0.412,0.38,0.396,0.114,0.224
05:30:00,0.453,0.517,0.499,0.463,0.455,0.465,0.413,0.378,0.394,0.114,0.211
06:00:00,0.473,0.519,0.501,0.461,0.455,0.462,0.407,0.372,0.391,0.119,0.204
06:30:00,0.481,0.515,0.502,0.461,0.449,0.46,0.406,0.373,0.393,0.119,0.208
07:00:00,0.481,0.516,0.503,0.461,0.448,0.46,0.406,0.373,0.391,0.117,0.203
07:30:00,0.492,0.518,0.502,0.455,0.444,0.455,0.4,0.37,0.387,0.112,0.201
08:00:00,0.495,0.521,0.503,0.454,0.442,0.452,0.394,0.363,0.382,0.115,0.199
08:30:00,0.483,0.517,0.501,0.447,0.434,0.442,0.389,0.358,0.375,0.116,0.201
09:00:00,0.491,0.519,0.497,0.439,0.426,0.433,0.379,0.35,0.369,0.117,0.196
09:30:00,0.494,0.518,0.493,0.431,0.416,0.427,0.373,0.345,0.364,0.117,0.193
10:00:00,0.488,0.519,0.487,0.421,0.408,0.419,0.366,0.339,0.357,0.118,0.191
10:30:00,0.484,0.515,0.484,0.414,0.4,0.411,0.36,0.332,0.353,0.116,0.186
11:00:00,0.495,0.512,0.479,0.403,0.389,0.402,0.353,0.327,0.347,0.116,0.185
11:30:00,0.487,0.512,0.474,0.396,0.382,0.393,0.346,0.32,0.34,0.113,0.18
12:00:00,0.485,0.507,0.471,0.39,0.374,0.388,0.338,0.314,0.335,0.114,0.176
12:30:00,0.496,0.5,0.463,0.384,0.367,0.381,0.331,0.308,0.328,0.114,0.173
13:00:00,0.503,0.491,0.456,0.375,0.36,0.373,0.323,0.302,0.322,0.112,0.169
13:30:00,0.491,0.485,0.449,0.372,0.355,0.367,0.318,0.294,0.318,0.111,0.17
14:00:00,0.485,0.474,0.442,0.362,0.347,0.36,0.313,0.29,0.309,0.112,0.166
14:30:00,0.483,0.464,0.434,0.354,0.341,0.355,0.305,0.282,0.303,0.11,0.161
15:00:00,0.499,0.447,0.426,0.344,0.332,0.346,0.299,0.277,0.298,0.109,0.159
15:30:00,0.476,0.432,0.414,0.337,0.322,0.337,0.289,0.267,0.289,0.106,0.157
16:00:00,0.457,0.415,0.403,0.326,0.312,0.328,0.281,0.26,0.28,0.103,0.152
16:30:00,0.44,0.398,0.391,0.314,0.302,0.318,0.272,0.252,0.272,0.102,0.152
17:00:00,0.408,0.382,0.378,0.304,0.292,0.307,0.265,0.243,0.264,0.1,0.149
17:30:00,0.382,0.361,0.365,0.293,0.28,0.299,0.255,0.233,0.253,0.095,0.15
18:00:00,0.357,0.345,0.352,0.282,0.272,0.287,0.246,0.225,0.245,0.094,0.147
18:30:00,0.327,0.328,0.335,0.269,0.259,0.272,0.233,0.215,0.234,0.088,0.146
19:00:00,0.32,0.31,0.324,0.258,0.252,0.264,0.227,0.209,0.227,0.086,0.142
19:30:00,0.301,0.297,0.311,0.251,0.244,0.256,0.22,0.203,0.219,0.083,0.146
20:00:00,0.291,0.282,0.297,0.243,0.237,0.247,0.213,0.196,0.212,0.081,0.142
20:30:00,0.284,0.272,0.286,0.237,0.231,0.239,0.207,0.192,0.206,0.079,0.143