passage,ADbyAB
DD_P0,0.014351412
DD_P0,0.013759441
DD_P0,0.015921431
DD_P0,0.01245013
DD_P0,0.012236498
DD_P0,0.012075369
DD_P0,0.044767253
DD_P0,0.044450768
DD_P0,0.045291787
DD_P0,0.019261361
DD_P0,0.0174622
DD_P0,0.024272746
RD_P0,0.013037158
RD_P0,0.013437758
RD_P0,0.012896934
RD_P0,0.020987799
RD_P0,0.020142788
RD_P0,0.012056969
RD_P0,0.026824497
RD_P0,0.028671726
RD_P0,0.027353192
RD_P0,0.040837402
RD_P0,0.042453136
RD_P0,0.04719796
DD_P2,0.01173449
DD_P2,0.013277525
DD_P2,0.011385774
DD_P2,0.018640961
DD_P2,0.01868415
DD_P2,0.019104568
DD_P2,0.028457572
DD_P2,0.028520895
DD_P2,0.026002347
DD_P2,0.011521191
DD_P2,0.008136752
DD_P2,0.007989277
RD_P2,0.015147206
RD_P2,0.014025089
RD_P2,0.031607226
RD_P2,0.034858255
RD_P2,0.030563733
RD_P2,0.018630617
RD_P2,0.019907254
RD_P2,0.017247133
RD_P2,0.039680164
RD_P2,0.039660345
RD_P2,0.028327828
DD_P4,0.005344612
DD_P4,0.003998994
DD_P4,0.003427446
DD_P4,0.006610684
DD_P4,0.003531981
DD_P4,0.003504625
DD_P4,0.014482024
DD_P4,0.011556736
DD_P4,0.013891313
DD_P4,0.014395381
DD_P4,0.014540209
DD_P4,0.012784099
RD_P4,0.005100293
RD_P4,0.005112327
RD_P4,0.004996861
RD_P4,0.023934724
RD_P4,0.02587789
RD_P4,0.023998085
RD_P4,0.020758341
RD_P4,0.019931231
RD_P4,0.020360369
RD_P4,0.0576728
RD_P4,0.057701657
RD_P4,0.05786929
DD_P6,0.004888266
DD_P6,0.004595845
DD_P6,0.004841252
DD_P6,0.019626751
DD_P6,0.016622459
DD_P6,0.016018074
DD_P6,0.009077999
DD_P6,0.009437658
DD_P6,0.008516055
RD_P6,0.005917754
RD_P6,0.006250208
RD_P6,0.006698595
RD_P6,0.031917792
RD_P6,0.031502202
RD_P6,0.030239298
RD_P6,0.008044386
RD_P6,0.008635418
RD_P6,0.007624298