Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,BC/rpoA
8Domi_3,RMV8_rpoA,UNKNOWN,SYBR,None,11.565,11.615,0.045,"6,972,348.00","6,745,522.50",
8Domi_3,RMV8_rpoA,UNKNOWN,SYBR,None,11.653,11.615,0.045,"6,574,760.50","6,745,522.50",
8Domi_3,RMV8_rpoA,UNKNOWN,SYBR,None,11.627,11.615,0.045,"6,689,460.50","6,745,522.50",
8Domi_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.178,10.136,0.044,"15,768,242.00","16,221,963.00",2.337586451
8Domi_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.141,10.136,0.044,"16,165,497.00","16,221,963.00",2.396478108
8Domi_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.091,10.136,0.044,"16,732,147.00","16,221,963.00",2.480481979
8Rare_3,RMV8_rpoA,UNKNOWN,SYBR,None,11.451,11.534,0.074,"7,531,811.00","7,126,352.00",
8Rare_3,RMV8_rpoA,UNKNOWN,SYBR,None,11.561,11.534,0.074,"6,994,235.50","7,126,352.00",
8Rare_3,RMV8_rpoA,UNKNOWN,SYBR,None,11.591,11.534,0.074,"6,853,009.50","7,126,352.00",
8Rare_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.653,10.557,0.166,"11,412,149.00","12,234,225.00",1.60140125
8Rare_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.653,10.557,0.166,"11,413,696.00","12,234,225.00",1.601618332
8Rare_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.366,10.557,0.166,"13,876,830.00","12,234,225.00",1.947255763
8Domi_1,RMV8_rpoA,UNKNOWN,SYBR,None,12.433,12.432,0.108,"3,885,394.25","3,896,625.00",
8Domi_1,RMV8_rpoA,UNKNOWN,SYBR,None,12.539,12.432,0.108,"3,619,076.75","3,896,625.00",
8Domi_1,RMV8_rpoA,UNKNOWN,SYBR,None,12.323,12.432,0.108,"4,185,404.25","3,896,625.00",
8Domi_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.063,10.021,0.042,"17,054,216.00","17,545,694.00",4.376663395
8Domi_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,9.979,10.021,0.042,"18,051,504.00","17,545,694.00",4.63259975
8Domi_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.022,10.021,0.042,"17,531,358.00","17,545,694.00",4.499113464
8Rare_1,RMV8_rpoA,UNKNOWN,SYBR,None,12.021,12.010,0.041,"5,129,461.000","5,169,505.500",
8Rare_1,RMV8_rpoA,UNKNOWN,SYBR,None,12.045,12.010,0.041,"5,048,517.500","5,169,505.500",
8Rare_1,RMV8_rpoA,UNKNOWN,SYBR,None,11.964,12.010,0.041,"5,330,538.000","5,169,505.500",
8Rare_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.101,12.074,0.123,"4,261,848.500","4,351,821.500",0.824420924
8Rare_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.180,12.074,0.123,"4,037,944.250","4,351,821.500",0.781108415
8Rare_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.940,12.074,0.123,"4,755,671.500","4,351,821.500",0.919947082
8Domi_2,RMV8_rpoA,UNKNOWN,SYBR,None,12.14,12.191,0.046,"4,734,385.00","4,574,378.50",
8Domi_2,RMV8_rpoA,UNKNOWN,SYBR,None,12.208,12.191,0.046,"4,522,523.50","4,574,378.50",
8Domi_2,RMV8_rpoA,UNKNOWN,SYBR,None,12.226,12.191,0.046,"4,466,227.00","4,574,378.50",
8Domi_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.772,10.756,0.031,"10,523,428.00","10,638,636.00",2.30051536
8Domi_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.721,10.756,0.031,"10,897,975.00","10,638,636.00",2.382394679
8Domi_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.776,10.756,0.031,"10,494,506.00","10,638,636.00",2.294192752
8Rare_2,RMV8_rpoA,UNKNOWN,SYBR,None,12.019,12.037,0.064,"5,135,657.50","5,075,835.50",
8Rare_2,RMV8_rpoA,UNKNOWN,SYBR,None,11.985,12.037,0.064,"5,256,403.00","5,075,835.50",
8Rare_2,RMV8_rpoA,UNKNOWN,SYBR,None,12.109,12.037,0.064,"4,835,444.50","5,075,835.50",
8Rare_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.021,12.004,0.038,"4,499,639.00","4,554,370.50",0.886482432
8Rare_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.96,12.004,0.038,"4,689,410.00","4,554,370.50",0.923869578
8Rare_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.029,12.004,0.038,"4,474,063.00","4,554,370.50",0.881443656