Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,BC/average_rpoA,Replicate ,Mutant,Condition ,Hour after treatment 
tvrR_T2h_media_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,9.686,9.676,0.023,"17,452,626.00","17,565,362.00",,1,tvrR ,media,2
tvrR_T2h_media_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,9.65,9.676,0.023,"17,861,242.00","17,565,362.00",,1,tvrR ,media,2
tvrR_T2h_media_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,9.692,9.676,0.023,"17,382,224.00","17,565,362.00",,1,tvrR ,media,2
tvrR_T2h_media_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.996,11.967,0.038,"3,684,834.00","3,757,409.75",0.209778426,1,tvrR ,media,2
tvrR_T2h_media_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.924,11.967,0.038,"3,863,083.25","3,757,409.75",0.219926196,1,tvrR ,media,2
tvrR_T2h_media_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.98,11.967,0.038,"3,724,312.00","3,757,409.75",0.212025918,1,tvrR ,media,2
tvrR_T2h_media_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.125,11.147,0.03,"6,949,416.00","6,852,367.50",,2,tvrR ,media,2
tvrR_T2h_media_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.136,11.147,0.03,"6,902,626.00","6,852,367.50",,2,tvrR ,media,2
tvrR_T2h_media_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.181,11.147,0.03,"6,705,060.00","6,852,367.50",,2,tvrR ,media,2
tvrR_T2h_media_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.625,11.604,0.18,"4,708,367.50","4,795,826.50",0.687115439,2,tvrR ,media,2
tvrR_T2h_media_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.414,11.604,0.18,"5,410,835.00","4,795,826.50",0.789630007,2,tvrR ,media,2
tvrR_T2h_media_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.773,11.604,0.18,"4,268,276.50","4,795,826.50",0.622890775,2,tvrR ,media,2
tvrR_T2h_media_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.312,11.329,0.117,"6,166,507.00","6,111,602.50",,3,tvrR ,media,2
tvrR_T2h_media_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.221,11.329,0.117,"6,536,524.00","6,111,602.50",,3,tvrR ,media,2
tvrR_T2h_media_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.454,11.329,0.117,"5,631,776.00","6,111,602.50",,3,tvrR ,media,2
tvrR_T2h_media_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.453,8.418,0.045,"38,259,252.00","39,173,236.00",6.260101504,3,tvrR ,media,2
tvrR_T2h_media_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.433,8.418,0.045,"38,773,724.00","39,173,236.00",6.344281062,3,tvrR ,media,2
tvrR_T2h_media_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.367,8.418,0.045,"40,486,740.00","39,173,236.00",6.624570233,3,tvrR ,media,2
procat_2h_media_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.208,9.898,0.269,"12,498,574.00","15,387,083.00",,1,procat,media,2
procat_2h_media_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,9.762,9.898,0.269,"16,621,476.00","15,387,083.00",,1,procat,media,2
procat_2h_media_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,9.723,9.898,0.269,"17,041,198.00","15,387,083.00",,1,procat,media,2
procat_2h_media_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.16,9.929,0.258,"12,392,713.00","14,572,876.00",0.805397163,1,procat,media,2
procat_2h_media_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,9.977,9.929,0.258,"13,984,082.00","14,572,876.00",0.90881956,1,procat,media,2
procat_2h_media_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,9.651,9.929,0.258,"17,341,832.00","14,572,876.00",1.127038309,1,procat,media,2
procat_2h_media_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.773,10.879,0.126,"8,708,032.00","8,150,156.00",,2,procat,media,2
procat_2h_media_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.018,10.879,0.126,"7,439,833.00","8,150,156.00",,2,procat,media,2
procat_2h_media_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.847,10.879,0.126,"8,302,603.50","8,150,156.00",,2,procat,media,2
procat_2h_media_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.953,11.88,0.109,"3,789,276.50","3,984,818.00",0.464933003,2,procat,media,2
procat_2h_media_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.932,11.88,0.109,"3,843,345.75","3,984,818.00",0.471567139,2,procat,media,2
procat_2h_media_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.754,11.88,0.109,"4,321,831.50","3,984,818.00",0.530275924,2,procat,media,2
procat_2h_media_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.523,11.471,0.065,"5,386,091.50","5,574,498.00",,3,procat,media,2
procat_2h_media_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.398,11.471,0.065,"5,837,370.50","5,574,498.00",,3,procat,media,2
procat_2h_media_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.491,11.471,0.065,"5,500,032.50","5,574,498.00",,3,procat,media,2
procat_2h_media_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.364,8.408,0.095,"40,576,440.00","39,464,796.00",7.278940633,3,procat,media,2
procat_2h_media_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.517,8.408,0.095,"36,677,944.00","39,464,796.00",6.579595867,3,procat,media,2
procat_2h_media_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.343,8.408,0.095,"41,140,004.00","39,464,796.00",7.380037449,3,procat,media,2
tvrR_T2h_csp_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.455,10.179,0.245,"10,667,806.00","12,836,144.00",,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,9.992,10.179,0.245,"14,351,909.00","12,836,144.00",,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.089,10.179,0.245,"13,488,716.00","12,836,144.00",,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.63,12.464,0.16,"2,423,213.25","2,714,766.25",0.188780466,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.451,12.464,0.16,"2,727,111.75","2,714,766.25",0.212455684,1,tvrR ,csp,2
tvrR_T2h_csp_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.31,12.464,0.16,"2,993,973.75","2,714,766.25",0.233245572,1,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.576,11.523,0.047,"5,208,652.00","5,387,433.50",,2,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.483,11.523,0.047,"5,525,916.00","5,387,433.50",,2,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.511,11.523,0.047,"5,427,733.00","5,387,433.50",,2,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.722,11.728,0.063,"4,414,107.50","4,401,616.50",0.819334011,2,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.793,11.728,0.063,"4,211,589.50","4,401,616.50",0.781743199,2,tvrR ,csp,2
tvrR_T2h_csp_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.667,11.728,0.063,"4,579,152.00","4,401,616.50",0.849969099,2,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.416,10.32,0.084,"10,936,360.00","11,644,980.00",,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.27,10.32,0.084,"12,009,551.00","11,644,980.00",,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.273,10.32,0.084,"11,989,028.00","11,644,980.00",,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.334,8.24,0.093,"41,399,212.00","44,098,320.00",3.555112332,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.239,8.24,0.093,"44,060,968.00","44,098,320.00",3.783687735,3,tvrR ,csp,2
tvrR_T2h_csp_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.147,8.24,0.093,"46,834,784.00","44,098,320.00",4.021886169,3,tvrR ,csp,2
procat_2h_csp_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.534,10.531,0.029,"10,142,291.00","10,161,841.00",,1,procat,csp,2
procat_2h_csp_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.501,10.531,0.029,"10,362,328.00","10,161,841.00",,1,procat,csp,2
procat_2h_csp_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.559,10.531,0.029,"9,980,905.00","10,161,841.00",,1,procat,csp,2
procat_2h_csp_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.557,10.512,0.128,"9,531,027.00","9,846,013.00",0.937923256,1,procat,csp,2
procat_2h_csp_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.367,10.512,0.128,"10,807,376.00","9,846,013.00",1.063525399,1,procat,csp,2
procat_2h_csp_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.611,10.512,0.128,"9,199,638.00","9,846,013.00",0.905312138,1,procat,csp,2
procat_2h_csp_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.475,11.378,0.113,"5,555,150.50","5,920,576.50",,2,procat,csp,2
procat_2h_csp_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.253,11.378,0.113,"6,401,513.00","5,920,576.50",,2,procat,csp,2
procat_2h_csp_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.406,11.378,0.113,"5,805,066.50","5,920,576.50",,2,procat,csp,2
procat_2h_csp_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.145,12.072,0.131,"3,339,413.00","3,513,710.00",0.564035107,2,procat,csp,2
procat_2h_csp_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.92,12.072,0.131,"3,874,135.75","3,513,710.00",0.654351101,2,procat,csp,2
procat_2h_csp_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.15,12.072,0.131,"3,327,581.50","3,513,710.00",0.562036737,2,procat,csp,2
procat_2h_csp_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.924,12.015,0.209,"4,168,304.50","3,954,602.75",,3,procat,csp,2
procat_2h_csp_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.867,12.015,0.209,"4,322,058.00","3,954,602.75",,3,procat,csp,2
procat_2h_csp_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,12.255,12.015,0.209,"3,373,445.75","3,954,602.75",,3,procat,csp,2
procat_2h_csp_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.209,10.113,0.17,"11,991,431.00","12,832,916.00",3.032271952,3,procat,csp,2
procat_2h_csp_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.213,10.113,0.17,"11,960,573.00","12,832,916.00",3.024468893,3,procat,csp,2
procat_2h_csp_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,9.917,10.113,0.17,"14,546,742.00","12,832,916.00",3.678433188,3,procat,csp,2
tvrR_T2h_mit_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,9.995,10.148,0.134,"14,317,550.00","13,020,128.00",,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.247,10.148,0.134,"12,185,344.00","13,020,128.00",,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.2,10.148,0.134,"12,557,492.00","13,020,128.00",,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,7.783,7.722,0.062,"59,583,896.00","62,055,120.00",4.576291109,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,7.724,7.722,0.062,"61,944,236.00","62,055,120.00",4.757575041,1,tvrR ,mit,2
tvrR_T2h_mit_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,7.659,7.722,0.062,"64,637,228.00","62,055,120.00",4.96440803,1,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.076,10.084,0.021,"13,598,484.00","13,532,140.00",,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.108,10.084,0.021,"13,324,722.00","13,532,140.00",,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.067,10.084,0.021,"13,673,213.00","13,532,140.00",,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,6.664,6.663,0.034,"124,766,592.00","124,859,384.00",9.220019302,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,6.629,6.663,0.034,"127,692,304.00","124,859,384.00",9.436223982,2,tvrR ,mit,2
tvrR_T2h_mit_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,6.696,6.663,0.034,"122,119,248.00","124,859,384.00",9.0243855,2,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.337,11.342,0.068,"6,069,432.50","6,053,853.50",,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.412,11.342,0.068,"5,782,401.00","6,053,853.50",,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.276,11.342,0.068,"6,309,727.50","6,053,853.50",,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,7.035,7.038,0.157,"97,643,048.00","97,789,056.00",16.12907349,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,7.196,7.038,0.157,"87,781,696.00","97,789,056.00",14.50013549,3,tvrR ,mit,2
tvrR_T2h_mit_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,6.883,7.038,0.157,"107,942,440.00","97,789,056.00",17.83036871,3,tvrR ,mit,2
procat_2h_mit_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.769,10.706,0.092,"8,727,853.00","9,094,256.00",,1,procat,mit,2
procat_2h_mit_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.601,10.706,0.092,"9,717,142.00","9,094,256.00",,1,procat,mit,2
procat_2h_mit_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.749,10.706,0.092,"8,837,773.00","9,094,256.00",,1,procat,mit,2
procat_2h_mit_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,7.749,7.694,0.079,"60,920,060.00","63,214,544.00",6.698740392,1,procat,mit,2
procat_2h_mit_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,7.603,7.694,0.079,"67,078,180.00","63,214,544.00",7.375884294,1,procat,mit,2
procat_2h_mit_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,7.731,7.694,0.079,"61,645,396.00","63,214,544.00",6.778497988,1,procat,mit,2
procat_2h_mit_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,12.222,12.278,0.199,"3,443,454.50","3,340,744.75",,2,procat,mit,2
procat_2h_mit_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,12.112,12.278,0.199,"3,694,490.25","3,340,744.75",,2,procat,mit,2
procat_2h_mit_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,12.499,12.278,0.199,"2,884,290.00","3,340,744.75",,2,procat,mit,2
procat_2h_mit_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.07,10.116,0.07,"13,146,099.00","12,762,897.00",3.935080344,2,procat,mit,2
procat_2h_mit_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.081,10.116,0.07,"13,052,765.00","12,762,897.00",3.907142262,2,procat,mit,2
procat_2h_mit_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.197,10.116,0.07,"12,089,827.00","12,762,897.00",3.618901743,2,procat,mit,2
procat_2h_mit_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.668,11.729,0.056,"4,909,417.50","4,722,710.00",,3,procat,mit,2
procat_2h_mit_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.741,11.729,0.056,"4,686,681.50","4,722,710.00",,3,procat,mit,2
procat_2h_mit_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.779,11.729,0.056,"4,572,030.50","4,722,710.00",,3,procat,mit,2
procat_2h_mit_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.175,8.184,0.109,"45,982,304.00","45,796,640.00",9.736423367,3,procat,mit,2
procat_2h_mit_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.079,8.184,0.109,"48,982,092.00","45,796,640.00",10.37160698,3,procat,mit,2
procat_2h_mit_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,8.297,8.184,0.109,"42,425,532.00","45,796,640.00",8.983302384,3,procat,mit,2
tvrR_T0_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.854,10.9,0.048,"8,265,969.00","8,029,768.50",,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.951,10.9,0.048,"7,770,506.00","8,029,768.50",,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.895,10.9,0.048,"8,052,831.00","8,029,768.50",,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.93,12.87,0.082,"1,987,790.00","2,070,353.50",0.247552591,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.903,12.87,0.082,"2,023,575.00","2,070,353.50",0.252009133,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.777,12.87,0.082,"2,199,695.50","2,070,353.50",0.27394258,1,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.214,11.234,0.157,"6,566,568.00","6,503,475.50",,2,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.088,11.234,0.157,"7,117,097.00","6,503,475.50",,2,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.4,11.234,0.157,"5,826,761.50","6,503,475.50",,2,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.319,12.281,0.106,"2,975,749.00","3,057,370.00",0.457562883,2,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.161,12.281,0.106,"3,303,565.25","3,057,370.00",0.5079692,2,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,12.362,12.281,0.106,"2,892,796.25","3,057,370.00",0.444807742,2,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.725,11.714,0.036,"4,734,737.50","4,767,960.00",,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.674,11.714,0.036,"4,890,798.50","4,767,960.00",,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.744,11.714,0.036,"4,678,344.00","4,767,960.00",,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.829,11.65,0.158,"4,114,667.50","4,647,874.50",0.862982806,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.527,11.65,0.158,"5,021,358.50","4,647,874.50",1.053146104,3,tvrR ,NA,0
tvrR_T0_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.593,11.65,0.158,"4,807,597.00","4,647,874.50",1.008313199,3,tvrR ,NA,0
procat_T0_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.93,10.945,0.035,"7,873,729.00","7,797,332.00",,1,procat,NA,0
procat_T0_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.985,10.945,0.035,"7,599,487.50","7,797,332.00",,1,procat,NA,0
procat_T0_1,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,10.921,10.945,0.035,"7,918,781.00","7,797,332.00",,1,procat,NA,0
procat_T0_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.275,10.246,0.045,"11,483,199.00","11,707,204.00",1.472708742,1,procat,NA,0
procat_T0_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.269,10.246,0.045,"11,526,418.00","11,707,204.00",1.478251535,1,procat,NA,0
procat_T0_1,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.194,10.246,0.045,"12,111,996.00","11,707,204.00",1.553351326,1,procat,NA,0
procat_T0_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.056,11.026,0.027,"7,262,195.00","7,406,030.50",,2,procat,NA,0
procat_T0_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.008,11.026,0.027,"7,490,223.00","7,406,030.50",,2,procat,NA,0
procat_T0_2,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.013,11.026,0.027,"7,465,673.50","7,406,030.50",,2,procat,NA,0
procat_T0_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.373,11.373,0.062,"5,558,383.00","5,561,846.00",0.750521214,2,procat,NA,0
procat_T0_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.311,11.373,0.062,"5,792,999.50","5,561,846.00",0.78220033,2,procat,NA,0
procat_T0_2,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.436,11.373,0.062,"5,334,155.50","5,561,846.00",0.720244873,2,procat,NA,0
procat_T0_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.844,11.749,0.083,"4,387,277.00","4,667,071.50",,3,procat,NA,0
procat_T0_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.711,11.749,0.083,"4,777,304.00","4,667,071.50",,3,procat,NA,0
procat_T0_3,RMV8_PRCI_rpoA,UNKNOWN,SYBR,None,11.692,11.749,0.083,"4,836,634.50","4,667,071.50",,3,procat,NA,0
procat_T0_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.109,11.02,0.116,"6,620,834.50","7,035,104.00",1.418627184,3,procat,NA,0
procat_T0_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,10.888,11.02,0.116,"7,659,853.00","7,035,104.00",1.641254693,3,procat,NA,0
procat_T0_3,RMV8_PRCI_BC,UNKNOWN,SYBR,None,11.063,11.02,0.116,"6,824,624.00","7,035,104.00",1.462292575,3,procat,NA,0